project_id,project_type,title,gpt4o_primary_code,gpt4o_primary_title,gpt4o_confidence,gpt4o_reason
4181,QD_PROJECT,"Electricity, Gas and Water Supply Industry Large Sample Survey 2006-2021, Time Series",D35,"Electricity, gas, steam and air conditioning supply",0.92,"The project focuses on the electricity, gas, and water supply industry, which aligns with the division for electricity, gas, steam and air conditioning supply and water collection, treatment and supply."
4196,QD_PROJECT,Global Youth Tobacco Survey Kenya 2001,C12,Manufacture of tobacco products,0.95,"The project focuses on a survey related to tobacco use among youth, which falls under the manufacture of tobacco products."
4341,QD_PROJECT,"Quarterly Labour Force Survey 2014, Quarter 4",O78,Employment activities,0.92,"The project focuses on a labour force survey, which is directly related to employment activities."
4859,QDA_PROJECT,Kenya (2012-2013) Qualitative Study on Barriers to Net Use among Most at Risk Populations in Kenya. Round 1,R86,Human health activities,0.92,"The project focuses on understanding barriers to the use of insecticidal nets for malaria prevention, which falls under human health activities."
4938,QD_PROJECT,"Reviving rivers, empowering communities: Assessing the impact of rejuvenation efforts in Bodh Gaya villages",E36,"Water collection, treatment and supply",0.85,"The project focuses on assessing the impact of river rejuvenation efforts, which falls under water collection, treatment, and supply activities."
4988,QDA_PROJECT,Data for Public Perception of Insect-Based Pet-Food,C10,Manufacture of food products,0.85,"The project focuses on public perception related to insect-based pet food, which falls under the manufacture of food products."
5035,QD_PROJECT,Replication Data for: Analysis of food waste management systems for business sustainability: Insights for ecopreneurs,E38,"Waste collection, treatment and disposal, and recovery activities",0.9,"The project focuses on food waste management systems, which falls under waste collection, treatment, and disposal activities."
5046,QD_PROJECT,"Replication Data for ""Process of (Re)Organization of Productive and Reproductive Work of Women in Confection"" published by RAC-Revista de Administração Contemporânea",C13,Manufacture of textiles,0.85,"The project focuses on the organization of productive and reproductive work specifically within the confection industry, which aligns it with manufacturing activities."
5141,QD_PROJECT,Data for Evaluation of advancing local dairy development in Nigeria: Endline report,A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on dairy development and its impact on smallholder livelihoods and nutrition, which aligns with agricultural activities."
5413,QD_PROJECT,Information Technology and Growth,K62,"Computer programming, consultancy and related activities",0.92,"The project focuses on the economic impact of information technology on productivity and capital substitution, aligning it with computer programming and consultancy activities."
5668,QD_PROJECT,Addis Ababa Industrial Survey 1993,C32,Other manufacturing,0.92,"The project focuses on a survey of firms within the Ethiopian manufacturing sector, making C32 (Other manufacturing) the most appropriate classification."
5681,QD_PROJECT,African Cigarette Prices 2016-2024,C12,Manufacture of tobacco products,0.92,"The project focuses on collecting data about cigarette prices, which falls under the manufacture of tobacco products."
6057,QD_PROJECT,"Widowhood in an American City, 1968",R88,Social work activities without accommodation,0.85,"The project focuses on the social and psychological characteristics of widows and their support systems, aligning it with social work activities."
6379,QD_PROJECT,"Vakantie-onderzoek, 1980",O79,"Travel agency, tour operator, and other travel related activities",0.9,"The project focuses on various aspects of holiday experiences, which aligns with travel-related activities."
6808,QD_PROJECT,Interview Bethany de Forest (II),S90,Arts creation and performing arts activities,0.92,"The project focuses on the artistic process and techniques of photography, which aligns with arts creation activities."
6923,QD_PROJECT,"Institutions for Collective Action: Kroniek van een Bazenbondje, interview met Cees ten Have",T94,Activities of membership organizations,0.85,"The project focuses on collective action and cooperative associations, which aligns with the activities of membership organizations."
7840,QD_PROJECT,"Longitudinaal Verplaatsingsonderzoek, meting 5, 1986 - LVO",H49,Land transport and transport via pipelines,0.92,"The project focuses on monitoring transportational behavior and the effects of public transport tariff changes, which aligns with land transport activities."
7897,QD_PROJECT,Wie verhuist er naar Rotterdam ? 1987,M68,Real estate activities,0.92,"The project focuses on the characteristics and reasons for moving to Rotterdam, which aligns with real estate activities and housing situations."
8037,QD_PROJECT,"Leefsituatie van de Nederlandse bevolking van 55 jaar en ouder, tehuisbewoners - LSO'82 1982",R87,Residential care activities,0.92,"The project focuses on the living conditions and social aspects of the elderly population, which aligns with residential care activities."
8051,QD_PROJECT,Warmte-isolatie van woningen 1980-1982/1982-1984 : Continu onderzoek,F41,Construction of residential and non-residential buildings,0.85,"The project focuses on the state of insulation in houses, which falls under construction activities related to residential buildings."
8326,QD_PROJECT,Image onderzoek Veilig Verkeer Nederland 1973-1974,H49,Land transport and transport via pipelines,0.85,"The project focuses on road safety and transport organizations, making it most relevant to land transport activities."
8420,QD_PROJECT,Communication effects on attitudes towards India 1960,J59,"Motion picture, video and television programme production, sound recording and music publishing activities",0.85,"The project focuses on the effects of motion pictures on attitudes and stereotypes, which aligns with the motion picture production and related activities."
8601,QD_PROJECT,Next Fashion Retail,G47,Retail trade,0.92,"The project focuses on improving the sales strategies of multi-brand fashion retailers, specifically in the context of sustainable clothing, which falls under retail trade."
8633,QD_PROJECT,Order-to-Cash Survey Data File,G46,Wholesale trade,0.85,"The project focuses on the order-to-cash process, which is a key aspect of business operations and management."
8640,QD_PROJECT,"Overview of sports, culture and leisure variables effect coefficient and monetary values",S93,Sports activities and amusement and recreation activities,0.92,"The project focuses on the valuation of sports, cultural, and leisure activities and their impact on well-being, which aligns with the classification for sports activities and recreation."
8682,QD_PROJECT,Most important strategic and managerial factors for plant-based milk analogue entrance in China using Blue Ocean Strategy,C11,Manufacture of beverages,0.85,"The project focuses on strategic factors for entering the plant-based milk market, which falls under the manufacture of beverages."
9090,QDA_PROJECT,Dataset corresponding to 'The (im)possibility of forgiveness? An empirical intercultural Bible reading of Matthew 18.15-35',Q85,Education,0.92,"The project focuses on educational aspects of intercultural Biblical interpretation and understanding of forgiveness, which aligns with the education sector."
9102,QD_PROJECT,Data for: Learning and Forgetting in the Jet Fighter Aircraft Industry,C30,Manufacture of other transport equipment,0.92,"The project focuses on the production costs and learning curves associated with the manufacturing of jet fighter aircraft, which aligns with the division for the manufacture of other transport equipment."
9338,QD_PROJECT,"The evolution of the Dutch dairy industry and the rise of cooperatives. Supporting data for research note, Journal of Institutional Economics (2014)",C10,Manufacture of food products,0.85,"The project focuses on the evolution of the dairy industry, specifically the entry and exit of dairy factories, which aligns with the manufacturing of food products."
10758,QD_PROJECT,"Veteranen Instituut, IPNV, interview 500",H50,Water transport,0.85,"The project focuses on maritime activities and experiences during wartime, which aligns with water transport."
10879,QD_PROJECT,Interview MAGWOC-47 on banking supervision,L64,"Financial service activities, except insurance and pension funding",0.9,"The project focuses on banking supervision and financial regulations, which aligns with financial service activities."
11693,QD_PROJECT,"Interviewcollectie Stichting Mondelinge Geschiedenis Indonesië, interview 1289",S91,"Library, archives, museum and other cultural activities",0.85,"The project focuses on oral history interviews related to historical events and cultural narratives, which aligns with cultural activities and heritage preservation."
12289,QDA_PROJECT,Polish debates on higher education in the Sejm and party manifestos,Q85,Education,0.95,"The project focuses on qualitative analysis of higher education policies and debates, which falls under the education sector."
12298,QDA_PROJECT,Coded websites of electricity retailers,D35,"Electricity, gas, steam and air conditioning supply",0.85,"The project focuses on coded empirical material related to electricity retailers, which aligns with the electricity supply sector."
12299,QDA_PROJECT,Investigating Deception Findings in Canadian Refugee Status Rejections: Legal Inferences and Psychological Assumptions - Dataset,N69,Legal and accounting activities,0.85,"The project focuses on legal judgments and psychological assumptions related to refugee status rejections, which aligns with legal activities."
12302,QDA_PROJECT,Disability Data for PLOSONE.qdpx,R88,Social work activities without accommodation,0.85,"The project focuses on the connotation of disability among persons living with disabilities, which aligns with social work activities."
12364,QDA_PROJECT,Production and trade data on cocoa value chain in Ghana,A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on the cocoa value chain, which falls under crop production activities."
12365,QDA_PROJECT,Mapping 'the constructive turn' in comment sections of news websites,J60,"Programming, broadcasting, news agency and other content distribution activities",0.92,"The project focuses on analyzing the guidelines of comment sections in online news outlets, which falls under content distribution activities."
12425,QDA_PROJECT,Baby Face of a Natural Disaster: Kindchenschema in a Disaster Media Reporting Case Database,J60,"Programming, broadcasting, news agency and other content distribution activities",0.92,"The project focuses on media reporting and analysis, which aligns with the content distribution activities in the publishing sector."
12483,QDA_PROJECT,Appendix to Master Thesis:  The  Externalization of European Borders - The European (New) Agenda on Migration -Strategic Cooperation with AFrica - The Case of Sudan,P84,Public administration and defence; compulsory social security,0.85,"The project focuses on the externalization of European borders and strategic cooperation with Africa, which falls under public administration and policy frameworks."
12499,QD_PROJECT,Understanding Tourist Experience In Mountain Hotel Accommodation: A Qualitative Assessment of Online Reviews,I55,Accommodation,0.92,"The project focuses on understanding tourist experiences in mountain hotel accommodation, which falls under the accommodation sector."
12640,QDA_PROJECT,Atlas.ti file - Qualitative data analysis of ENGO reports and transcripts on AI governance,N72,Scientific research and development,0.85,"The project involves qualitative data analysis related to environmental governance, which falls under scientific research and development."
12652,QDA_PROJECT,Production and trade data on cocoa value chain in Ghana,A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on the cocoa value chain, which falls under crop production activities."
12748,QD_PROJECT,Interview transcript of mining displaced community,B08,Other mining and quarrying,0.92,"The project focuses on a mining displaced community, which aligns with the mining sector."
12931,QD_PROJECT,Jumping up the sanitation ladder in rural Cambodia: the role of remittances and peer-to-peer pressure in adopting high quality latrines,E37,Sewerage,0.92,"The project focuses on improving sanitation facilities and hygiene practices in rural communities, which aligns with sewerage activities."
12948,QDA_PROJECT,Sociocultural context and innovation scale up,R86,Human health activities,0.92,"The project focuses on the adoption of health-related practices and the sociocultural factors influencing healthcare delivery, which aligns with human health activities."
13044,QD_PROJECT,"Change in gender roles as a factor in gender participation and empowerment in the oil mining industry: A case of Lokichar, Turkana county, Kenya",B06,Extraction of crude petroleum and natural gas,0.85,"The project focuses on gender roles and participation specifically within the oil mining industry, which aligns it with the extraction of crude petroleum and natural gas."
13206,QD_PROJECT,What is an ugly car? A grounded theory approach on a webpage's comments,C29,"Manufacture of motor vehicles, trailers and semi-trailers",0.85,"The project focuses on automotive design and aesthetic assessment of vehicles, which aligns with the manufacture of motor vehicles."
13254,QD_PROJECT,"An efficient synthesis of halogenated 1,4,5,8-tetramethoxynaphthalenes",C20,Manufacture of chemicals and chemical products,0.92,"The project focuses on the synthesis of chemical compounds, which aligns with the manufacture of chemicals and chemical products."
13539,QD_PROJECT,Navigating the Business Environment: A Qualitative Analysis of Strategic Challenges and Governance in Tanzania (2000–2026),N70,Activities of head offices; management consultancy activities,0.85,"The project focuses on strategic challenges and governance in the business environment, aligning it with management consultancy activities."
13590,QD_PROJECT,Evaluating Microinsurance Programmes in Ghanaian Towns: An Ethnographic Study of Small Business Experiences,L65,"Insurance, reinsurance and pension funding, except compulsory social security",0.85,"The project focuses on evaluating microinsurance programmes, which falls under the insurance sector, specifically related to financial services."
13629,QD_PROJECT,"An efficient synthesis of halogenated 1,4,5,8-tetramethoxynaphthalenes",C20,Manufacture of chemicals and chemical products,0.92,"The project focuses on the synthesis of chemical compounds, which aligns with the manufacture of chemicals and chemical products."
13664,QDA_PROJECT,"U.S. cities increasingly integrate justice into climate planning and create policy tools for climate justice (Diezmartínez & Short Gianotti, 2022) - Data and code",P84,Public administration and defence; compulsory social security,0.85,"The project focuses on the integration of justice into climate planning and policy tools, which aligns with public administration and policy implementation."
13856,QD_PROJECT,Alternative wood preservation in rural areas: comparative evaluation between vegetable and mineral oils,A02,Forestry and logging,0.92,"The project focuses on the preservation of wood, which falls under the forestry and logging sector."
13928,QD_PROJECT,"Engineering Rapamycin-Induced
Dimerization for Control
of Gene Expression in Plants",A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on engineering gene expression systems in plants, which aligns with agricultural practices and biotechnology."
13948,QD_PROJECT,Human Resource Management Practices in Botswana's Mining Sector: A Qualitative Exploration,B09,Mining support service activities,0.85,"The project focuses on human resource management practices specifically within the mining sector, making B09 the most relevant classification."
14328,QD_PROJECT,This repository contains - Meteorological and Snow Cover Data and Machine Learning–Based Gap-Filling of Satellite Snow Products Using Time-Lapse Photography and Meteorological Data Procedure,N72,Scientific research and development,0.85,The project focuses on scientific research and development related to snow cover data and machine learning techniques.
14335,QD_PROJECT,Transparantie in de circulaire economie onder de CSRD: de kloof tussen richtlijnen en realiteit,F41,Construction of residential and non-residential buildings,0.85,"The project focuses on qualitative research regarding sustainability practices in the construction sector, which aligns with construction activities."
14387,QD_PROJECT,"Raw data, Plant Biology 2026 doi:10.1111/plb.70223, On the relationship between photosystem II thermotolerance and irreversible heat damage in leaves of <i>Rhizophora mangle</i>",A02,Forestry and logging,0.92,"The research focuses on plant biology and the thermotolerance of a specific tree species, which aligns with forestry and logging activities."
14469,QD_PROJECT,Atlantic salmon gut metatranscriptomic data,A03,Fishing and aquaculture,0.85,"The project focuses on metatranscriptomic data from the gut of Atlantic salmon, which relates to the aquaculture sector."
14934,QD_PROJECT,Data For: Building a 4E Interview-Grounded Theory Model: A Case Study of Demand Factors for Customized Furniture,C31,Manufacture of furniture,0.92,"The project focuses on demand factors for customized furniture, which falls under the manufacture of furniture."
14980,QD_PROJECT,Data for: Demand for law and the security of property rights: The case of Post-soviet Russia,N69,Legal and accounting activities,0.92,"The project focuses on legal aspects and property rights in the context of businesses, which aligns with legal and accounting activities."
15477,QD_PROJECT,Interview Evert Nijland,S92,Gambling and betting activities,0.85,"The project focuses on the artistic process and collaboration in jewelry design, which aligns with cultural activities."
15676,QD_PROJECT,"Interview with Jan Pesman on an architectural model of the Heiwo System, Delft, 15 April 2016",N71,Architectural and engineering activities; technical testing and analysis,0.92,"The project focuses on architectural conservation and restoration, which falls under architectural and engineering activities."
15983,QD_PROJECT,"Project Ongekend Bijzonder, Rotterdam, interview 28",Q85,Education,0.9,"The project focuses on the educational background and community contributions of individuals, which aligns with the domain of education."
16199,QD_PROJECT,Burglary in factories / plants / offices 1995,O80,Investigation and security activities,0.92,"The project focuses on the investigation and analysis of burglary incidents in commercial settings, which aligns with security activities."
16391,QD_PROJECT,Vakantie in Zeeland en op Goeree 1972,I55,Accommodation,0.92,"The project focuses on holiday residences and accommodations in Zeeland, which aligns with the accommodation sector."
16686,QD_PROJECT,Studying household energy consumption: 19 essential spatial data,D35,"Electricity, gas, steam and air conditioning supply",0.85,"The project focuses on household energy consumption, which relates to electricity and gas supply, making D35 the most relevant classification."
16690,QD_PROJECT,Most important strategic and managerial factors for plant-based milk analogue entrance in China using Blue Ocean Strategy,C11,Manufacture of beverages,0.85,"The project focuses on the strategic factors for entering the plant-based milk market, which falls under the manufacture of beverages."
17081,QD_PROJECT,Data for: Learning and Forgetting in the Jet Fighter Aircraft Industry,C30,Manufacture of other transport equipment,0.92,"The project focuses on the production costs and learning curves in the aircraft manufacturing sector, specifically related to military fighter jets."
17174,QD_PROJECT,"Arab-West Report 1998, Week 14-48: Press Freedom, Religious Freedom, and Religious Tensions in Egypt",J58,Publishing activities,0.92,The project focuses on publishing special reports related to press and religious freedom issues in Egypt.
18044,QD_PROJECT,"Javanen in Diaspora, interview met Carmen Karta",I56,Food and beverage service activities,0.85,"The project focuses on the experiences of a person who runs a food service establishment, highlighting cultural aspects and personal history related to food and community."
18087,QD_PROJECT,"Getuigen Verhalen, Verplicht varen voor koningin en vaderland, interview 05",H50,Water transport,0.85,"The project focuses on maritime activities during wartime, specifically related to shipping and naval operations."
18430,QDA_PROJECT,Marie Garnier PhD Research Project,J58,Publishing activities,0.85,"The project involves the analysis of newspaper articles, which falls under publishing activities."
18557,QD_PROJECT,"Interviewcollectie Stichting Mondelinge Geschiedenis Indonesië, interview 1678",B08,Other mining and quarrying,0.85,"The project focuses on geological observations and the potential for oil accumulation in New Guinea, which aligns with mining and quarrying activities."
18697,QD_PROJECT,"Veteranen Instituut, IPNV, interview 751",P84,Public administration and defence; compulsory social security,0.92,"The project focuses on interviews related to a veteran's experiences during military service, which falls under public administration and defence."
