project_id,project_type,title,gpt4o_primary_code,gpt4o_primary_title,gpt4o_confidence,gpt4o_reason,gpt41_primary_code,gpt41_primary_title,gpt41_confidence,gpt41_reason,exact_code_agreement,manual_correct_model,manual_notes
4988,QDA_PROJECT,Data for Public Perception of Insect-Based Pet-Food,C10,Manufacture of food products,0.85,"The project focuses on public perception related to insect-based pet food, which falls under the manufacture of food products.",N73,"Activities of advertising, market research and public relations",0.85,"The project focuses on public perception and market research related to insect-based pet food, aligning best with market research and public relations activities in N73 rather than manufacturing or agriculture.",False,,
5035,QD_PROJECT,Replication Data for: Analysis of food waste management systems for business sustainability: Insights for ecopreneurs,E38,"Waste collection, treatment and disposal, and recovery activities",0.9,"The project focuses on food waste management systems, which falls under waste collection, treatment, and disposal activities.",E38,"Waste collection, treatment and disposal, and recovery activities",0.9,"The project focuses on food waste management systems, which aligns with waste collection, treatment, and disposal activities classified under E38.",True,,
5046,QD_PROJECT,"Replication Data for ""Process of (Re)Organization of Productive and Reproductive Work of Women in Confection"" published by RAC-Revista de Administração Contemporânea",C13,Manufacture of textiles,0.85,"The project focuses on the organization of productive and reproductive work specifically within the confection industry, which aligns it with manufacturing activities.",N74,"Other professional, scientific and technical activities",0.85,"The project studies organizational and labor processes in the confection sector focusing on gender and work organization, fitting best under other professional, scientific and technical activities rather than manufacturing or education.",False,,
5141,QD_PROJECT,Data for Evaluation of advancing local dairy development in Nigeria: Endline report,A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on dairy development and its impact on smallholder livelihoods and nutrition, which aligns with agricultural activities.",A01,"Crop and animal production, hunting and related service activities",0.95,"The project focuses on evaluation of a dairy development intervention aimed at strengthening the dairy value chain and improving smallholder livelihoods, which aligns with crop and animal production activities in division A01.",True,,
5413,QD_PROJECT,Information Technology and Growth,K62,"Computer programming, consultancy and related activities",0.92,"The project focuses on the economic impact of information technology on productivity and capital substitution, aligning it with computer programming and consultancy activities.",N70,Activities of head offices; management consultancy activities,0.85,"The project analyzes economic growth and substitution effects of IT capital in the economy, fitting best under management consultancy and economic analysis activities (N70) rather than manufacturing or pure scientific research.",False,,
5668,QD_PROJECT,Addis Ababa Industrial Survey 1993,C32,Other manufacturing,0.92,"The project focuses on a survey of firms within the Ethiopian manufacturing sector, making C32 (Other manufacturing) the most appropriate classification.",C10,Manufacture of food products,0.95,"The project focuses on a survey of firms in the manufacturing sector, covering various manufacturing subsectors in Addis Ababa, making C10 (Manufacture of food products) and related manufacturing divisions the best fit, with C10 chosen as representative of manufacturing activities.",False,,
5681,QD_PROJECT,African Cigarette Prices 2016-2024,C12,Manufacture of tobacco products,0.92,"The project focuses on collecting data about cigarette prices, which falls under the manufacture of tobacco products.",G47,Retail trade,0.9,"The project focuses on collecting and analyzing retail cigarette prices across African countries, which aligns with retail trade activities.",False,,
6057,QD_PROJECT,"Widowhood in an American City, 1968",R88,Social work activities without accommodation,0.85,"The project focuses on the social and psychological characteristics of widows and their support systems, aligning it with social work activities.",T94,Activities of membership organizations,0.85,"The project focuses on social and psychological characteristics and support systems for widows, aligning best with activities of membership organizations and social research rather than health, education, or public administration.",False,,
6379,QD_PROJECT,"Vakantie-onderzoek, 1980",O79,"Travel agency, tour operator, and other travel related activities",0.9,"The project focuses on various aspects of holiday experiences, which aligns with travel-related activities.",O79,"Travel agency, tour operator, and other travel related activities",0.9,"The project focuses on holiday destinations, frequency, accommodation, and related leisure activities, which aligns best with travel agency, tour operator, and other travel-related activities (O79).",True,,
6808,QD_PROJECT,Interview Bethany de Forest (II),S90,Arts creation and performing arts activities,0.92,"The project focuses on the artistic process and techniques of photography, which aligns with arts creation activities.",S91,"Library, archives, museum and other cultural activities",0.95,"The project focuses on the artistic process and technique of pinhole photography and the creation of an art book, fitting best within arts and cultural activities (S91) rather than manufacturing or scientific research.",False,,
6923,QD_PROJECT,"Institutions for Collective Action: Kroniek van een Bazenbondje, interview met Cees ten Have",T94,Activities of membership organizations,0.85,"The project focuses on collective action and cooperative associations, which aligns with the activities of membership organizations.",T94,Activities of membership organizations,0.85,"The project focuses on a cooperative association (Bazenbondje) and collective action among entrepreneurs, fitting best under activities of membership organizations rather than education, real estate, or financial services.",True,,
7840,QD_PROJECT,"Longitudinaal Verplaatsingsonderzoek, meting 5, 1986 - LVO",H49,Land transport and transport via pipelines,0.92,"The project focuses on monitoring transportational behavior and the effects of public transport tariff changes, which aligns with land transport activities.",H49,Land transport and transport via pipelines,0.95,"The project focuses on transport behavior, mobility, and effects of tariff changes in public transport, which aligns with land transport activities under H49.",True,,
7897,QD_PROJECT,Wie verhuist er naar Rotterdam ? 1987,M68,Real estate activities,0.92,"The project focuses on the characteristics and reasons for moving to Rotterdam, which aligns with real estate activities and housing situations.",M68,Real estate activities,0.9,"The project focuses on housing, accommodation types, and residential moves within Rotterdam, which aligns best with real estate activities (M68).",True,,
8037,QD_PROJECT,"Leefsituatie van de Nederlandse bevolking van 55 jaar en ouder, tehuisbewoners - LSO'82 1982",R87,Residential care activities,0.92,"The project focuses on the living conditions and social aspects of the elderly population, which aligns with residential care activities.",R87,Residential care activities,0.92,"The project focuses on the living conditions and residence of elderly persons in care homes, which aligns with residential care activities.",True,,
8051,QD_PROJECT,Warmte-isolatie van woningen 1980-1982/1982-1984 : Continu onderzoek,F41,Construction of residential and non-residential buildings,0.85,"The project focuses on the state of insulation in houses, which falls under construction activities related to residential buildings.",F41,Construction of residential and non-residential buildings,0.9,"The project focuses on the state of insulation of houses, including building characteristics and financial aspects, which aligns best with construction of residential buildings (F41).",True,,
8326,QD_PROJECT,Image onderzoek Veilig Verkeer Nederland 1973-1974,H49,Land transport and transport via pipelines,0.85,"The project focuses on road safety and transport organizations, making it most relevant to land transport activities.",N73,"Activities of advertising, market research and public relations",0.85,"The project focuses on social science research related to road safety organizations and public opinion on transport safety, fitting best under market research and public relations activities (N73).",False,,
8420,QD_PROJECT,Communication effects on attitudes towards India 1960,J59,"Motion picture, video and television programme production, sound recording and music publishing activities",0.85,"The project focuses on the effects of motion pictures on attitudes and stereotypes, which aligns with the motion picture production and related activities.",N73,"Activities of advertising, market research and public relations",0.85,"The project studies effects of motion pictures on attitudes and stereotypes, aligning with advertising, market research and public relations activities rather than education or arts creation.",False,,
8601,QD_PROJECT,Next Fashion Retail,G47,Retail trade,0.92,"The project focuses on improving the sales strategies of multi-brand fashion retailers, specifically in the context of sustainable clothing, which falls under retail trade.",G47,Retail trade,0.95,"The project focuses on retail trade practices and consumer behavior in sustainable fashion within multi-brand retail stores, aligning best with retail trade (G47).",True,,
8633,QD_PROJECT,Order-to-Cash Survey Data File,G46,Wholesale trade,0.85,"The project focuses on the order-to-cash process, which is a key aspect of business operations and management.",N70,Activities of head offices; management consultancy activities,0.9,"The project focuses on the order-to-cash process in companies, which is a business management and administrative process best classified under activities of head offices and management consultancy (N70).",False,,
8640,QD_PROJECT,"Overview of sports, culture and leisure variables effect coefficient and monetary values",S93,Sports activities and amusement and recreation activities,0.92,"The project focuses on the valuation of sports, cultural, and leisure activities and their impact on well-being, which aligns with the classification for sports activities and recreation.",S93,Sports activities and amusement and recreation activities,0.9,"The project focuses on the value and impact of sports, cultural, and leisure activities, which aligns best with the ISIC division for sports activities and amusement and recreation activities (S93).",True,,
8682,QD_PROJECT,Most important strategic and managerial factors for plant-based milk analogue entrance in China using Blue Ocean Strategy,C11,Manufacture of beverages,0.85,"The project focuses on strategic factors for entering the plant-based milk market, which falls under the manufacture of beverages.",N73,"Activities of advertising, market research and public relations",0.85,"The project focuses on strategic and managerial factors for market entry in the plant-based milk industry, aligning best with management consultancy and market research activities under N73 rather than manufacturing or agriculture.",False,,
9090,QDA_PROJECT,Dataset corresponding to 'The (im)possibility of forgiveness? An empirical intercultural Bible reading of Matthew 18.15-35',Q85,Education,0.92,"The project focuses on educational aspects of intercultural Biblical interpretation and understanding of forgiveness, which aligns with the education sector.",S91,"Library, archives, museum and other cultural activities",0.9,"The project focuses on intercultural Biblical hermeneutics and group readings of a Biblical text, which aligns with cultural and arts-related activities such as library, archives, museum and other cultural activities (S91).",False,,
9102,QD_PROJECT,Data for: Learning and Forgetting in the Jet Fighter Aircraft Industry,C30,Manufacture of other transport equipment,0.92,"The project focuses on the production costs and learning curves associated with the manufacturing of jet fighter aircraft, which aligns with the division for the manufacture of other transport equipment.",C30,Manufacture of other transport equipment,0.95,"The project focuses on production costs and learning curves in the jet fighter aircraft industry, which aligns with the manufacture of other transport equipment (C30).",True,,
9338,QD_PROJECT,"The evolution of the Dutch dairy industry and the rise of cooperatives. Supporting data for research note, Journal of Institutional Economics (2014)",C10,Manufacture of food products,0.85,"The project focuses on the evolution of the dairy industry, specifically the entry and exit of dairy factories, which aligns with the manufacturing of food products.",A01,"Crop and animal production, hunting and related service activities",0.95,"The project focuses on the evolution of the dairy industry, which is part of animal production under agriculture, making A01 the most appropriate classification.",False,,
10758,QD_PROJECT,"Veteranen Instituut, IPNV, interview 500",H50,Water transport,0.85,"The project focuses on maritime activities and experiences during wartime, which aligns with water transport.",H50,Water transport,0.95,"The project focuses on maritime transport activities during wartime, specifically merchant shipping and naval convoy operations, which aligns with water transport (H50).",True,,
10879,QD_PROJECT,Interview MAGWOC-47 on banking supervision,L64,"Financial service activities, except insurance and pension funding",0.9,"The project focuses on banking supervision and financial regulations, which aligns with financial service activities.",L64,"Financial service activities, except insurance and pension funding",0.95,"The project focuses on banking supervision and implementation of Basel II, which falls under financial service activities (L64).",True,,
11693,QD_PROJECT,"Interviewcollectie Stichting Mondelinge Geschiedenis Indonesië, interview 1289",S91,"Library, archives, museum and other cultural activities",0.85,"The project focuses on oral history interviews related to historical events and cultural narratives, which aligns with cultural activities and heritage preservation.",S91,"Library, archives, museum and other cultural activities",0.95,"The project is a qualitative oral history interview collection focused on historical and cultural aspects of colonial and post-colonial Indonesia, fitting best within archives, museum, and cultural activities.",True,,
12289,QDA_PROJECT,Polish debates on higher education in the Sejm and party manifestos,Q85,Education,0.95,"The project focuses on qualitative analysis of higher education policies and debates, which falls under the education sector.",Q85,Education,0.95,"The project focuses on qualitative analysis of parliamentary debates and party manifestos related to higher education policies and reforms, which aligns with education sector research rather than public administration or political science alone.",True,,
12298,QDA_PROJECT,Coded websites of electricity retailers,D35,"Electricity, gas, steam and air conditioning supply",0.85,"The project focuses on coded empirical material related to electricity retailers, which aligns with the electricity supply sector.",D35,"Electricity, gas, steam and air conditioning supply",0.85,"The project involves coded empirical material related to electricity retailers, which aligns with the electricity supply sector under D35 Electricity, gas, steam and air conditioning supply.",True,,
12299,QDA_PROJECT,Investigating Deception Findings in Canadian Refugee Status Rejections: Legal Inferences and Psychological Assumptions - Dataset,N69,Legal and accounting activities,0.85,"The project focuses on legal judgments and psychological assumptions related to refugee status rejections, which aligns with legal activities.",N69,Legal and accounting activities,0.9,"The project focuses on legal inferences and psychological assumptions in refugee status decisions, aligning best with legal and accounting activities rather than public administration or education.",True,,
12302,QDA_PROJECT,Disability Data for PLOSONE.qdpx,R88,Social work activities without accommodation,0.85,"The project focuses on the connotation of disability among persons living with disabilities, which aligns with social work activities.",R88,Social work activities without accommodation,0.9,"The project focuses on self-report and connotation of disability and care for disabled persons, which aligns with social work activities without accommodation.",True,,
12364,QDA_PROJECT,Production and trade data on cocoa value chain in Ghana,A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on the cocoa value chain, which falls under crop production activities.",A01,"Crop and animal production, hunting and related service activities",0.95,"The project focuses on the cocoa value chain involving farmers and production behaviors, which aligns with crop production activities under A01.",True,,
12365,QDA_PROJECT,Mapping 'the constructive turn' in comment sections of news websites,J60,"Programming, broadcasting, news agency and other content distribution activities",0.92,"The project focuses on analyzing the guidelines of comment sections in online news outlets, which falls under content distribution activities.",J60,"Programming, broadcasting, news agency and other content distribution activities",0.95,"The project analyzes the guidelines of comment sections of online news websites, which falls under news agency and content distribution activities classified in J60.",True,,
12425,QDA_PROJECT,Baby Face of a Natural Disaster: Kindchenschema in a Disaster Media Reporting Case Database,J60,"Programming, broadcasting, news agency and other content distribution activities",0.92,"The project focuses on media reporting and analysis, which aligns with the content distribution activities in the publishing sector.",N73,"Activities of advertising, market research and public relations",0.9,"The project focuses on media content analysis and agenda-setting strategies in disaster reporting, which aligns with advertising, market research and public relations activities in N73.",False,,
12483,QDA_PROJECT,Appendix to Master Thesis:  The  Externalization of European Borders - The European (New) Agenda on Migration -Strategic Cooperation with AFrica - The Case of Sudan,P84,Public administration and defence; compulsory social security,0.85,"The project focuses on the externalization of European borders and strategic cooperation with Africa, which falls under public administration and policy frameworks.",P84,Public administration and defence; compulsory social security,0.95,"The project focuses on policy frameworks and strategic cooperation on migration between the European Union and Africa, which aligns with public administration and defence activities related to government policy and administration.",True,,
12499,QD_PROJECT,Understanding Tourist Experience In Mountain Hotel Accommodation: A Qualitative Assessment of Online Reviews,I55,Accommodation,0.92,"The project focuses on understanding tourist experiences in mountain hotel accommodation, which falls under the accommodation sector.",I55,Accommodation,0.95,"The project focuses on tourist accommodation experiences in mountain hotels, which aligns with the accommodation sector (I55).",True,,
12640,QDA_PROJECT,Atlas.ti file - Qualitative data analysis of ENGO reports and transcripts on AI governance,N72,Scientific research and development,0.85,"The project involves qualitative data analysis related to environmental governance, which falls under scientific research and development.",N74,"Other professional, scientific and technical activities",0.85,"The project involves qualitative analysis of environmental NGO reports on AI governance, fitting best under other professional, scientific and technical activities rather than scientific research or public administration.",False,,
12652,QDA_PROJECT,Production and trade data on cocoa value chain in Ghana,A01,"Crop and animal production, hunting and related service activities",0.92,"The project focuses on the cocoa value chain, which falls under crop production activities.",A01,"Crop and animal production, hunting and related service activities",0.9,"The project focuses on the cocoa value chain involving farmers and agricultural production activities in Ghana, which aligns with crop production under A01.",True,,
12748,QD_PROJECT,Interview transcript of mining displaced community,B08,Other mining and quarrying,0.92,"The project focuses on a mining displaced community, which aligns with the mining sector.",B08,Other mining and quarrying,0.85,"The project focuses on a community displaced by mining activities, which aligns with the 'Other mining and quarrying' sector B08 as the main substantive domain.",True,,
12931,QD_PROJECT,Jumping up the sanitation ladder in rural Cambodia: the role of remittances and peer-to-peer pressure in adopting high quality latrines,E37,Sewerage,0.92,"The project focuses on improving sanitation facilities and hygiene practices in rural communities, which aligns with sewerage activities.",E37,Sewerage,0.9,"The project focuses on rural sanitation improvement and hygiene practices, which aligns with sewerage activities under division E37 rather than general public administration or health services.",True,,
12948,QDA_PROJECT,Sociocultural context and innovation scale up,R86,Human health activities,0.92,"The project focuses on the adoption of health-related practices and the sociocultural factors influencing healthcare delivery, which aligns with human health activities.",R86,Human health activities,0.95,"The project focuses on sociocultural factors affecting the adoption of a health intervention (injectable contraceptives), which aligns with human health activities.",True,,
13044,QD_PROJECT,"Change in gender roles as a factor in gender participation and empowerment in the oil mining industry: A case of Lokichar, Turkana county, Kenya",B06,Extraction of crude petroleum and natural gas,0.85,"The project focuses on gender roles and participation specifically within the oil mining industry, which aligns it with the extraction of crude petroleum and natural gas.",B06,Extraction of crude petroleum and natural gas,0.9,"The project focuses on gender participation and empowerment specifically within the oil mining industry, which corresponds to Extraction of crude petroleum and natural gas (B06).",True,,
13206,QD_PROJECT,What is an ugly car? A grounded theory approach on a webpage's comments,C29,"Manufacture of motor vehicles, trailers and semi-trailers",0.85,"The project focuses on automotive design and aesthetic assessment of vehicles, which aligns with the manufacture of motor vehicles.",N73,"Activities of advertising, market research and public relations",0.85,"The project focuses on understanding aesthetic perceptions in automotive design, aligning with market research and professional activities related to design and consumer perception rather than manufacturing or education.",False,,
13254,QD_PROJECT,"An efficient synthesis of halogenated 1,4,5,8-tetramethoxynaphthalenes",C20,Manufacture of chemicals and chemical products,0.92,"The project focuses on the synthesis of chemical compounds, which aligns with the manufacture of chemicals and chemical products.",N72,Scientific research and development,0.95,"The project focuses on the scientific research and development of chemical synthesis methods for bioactive compounds, fitting best under N72 for scientific research and development.",False,,
13539,QD_PROJECT,Navigating the Business Environment: A Qualitative Analysis of Strategic Challenges and Governance in Tanzania (2000–2026),N70,Activities of head offices; management consultancy activities,0.85,"The project focuses on strategic challenges and governance in the business environment, aligning it with management consultancy activities.",N70,Activities of head offices; management consultancy activities,0.9,"The project focuses on strategic challenges and governance in business environments, aligning with management consultancy and head office activities classified under N70.",True,,
13590,QD_PROJECT,Evaluating Microinsurance Programmes in Ghanaian Towns: An Ethnographic Study of Small Business Experiences,L65,"Insurance, reinsurance and pension funding, except compulsory social security",0.85,"The project focuses on evaluating microinsurance programmes, which falls under the insurance sector, specifically related to financial services.",L65,"Insurance, reinsurance and pension funding, except compulsory social security",0.95,"The project focuses on microinsurance programs and their impact on small businesses, which aligns with insurance and financial service activities classified under L65.",True,,
13629,QD_PROJECT,"An efficient synthesis of halogenated 1,4,5,8-tetramethoxynaphthalenes",C20,Manufacture of chemicals and chemical products,0.92,"The project focuses on the synthesis of chemical compounds, which aligns with the manufacture of chemicals and chemical products.",N72,Scientific research and development,0.95,"The project focuses on the scientific research and development of chemical synthesis methods for bioactive compounds, fitting best under N72 for scientific research and development.",False,,
13664,QDA_PROJECT,"U.S. cities increasingly integrate justice into climate planning and create policy tools for climate justice (Diezmartínez & Short Gianotti, 2022) - Data and code",P84,Public administration and defence; compulsory social security,0.85,"The project focuses on the integration of justice into climate planning and policy tools, which aligns with public administration and policy implementation.",P84,Public administration and defence; compulsory social security,0.9,"The project focuses on urban climate policy integration and justice in climate planning, which aligns with public administration and policy activities under P84.",True,,
13856,QD_PROJECT,Alternative wood preservation in rural areas: comparative evaluation between vegetable and mineral oils,A02,Forestry and logging,0.92,"The project focuses on the preservation of wood, which falls under the forestry and logging sector.",A02,Forestry and logging,0.9,"The project focuses on wood preservation techniques applied to Pinus sp. stakes in rural areas, which aligns with forestry and logging activities under division A02.",True,,
