project_id,source_student_id,project_type,project_title,project_description_short,predicted_class_code,predicted_class_title,confidence,reason,manual_label_correct,manual_notes
836,23025313,QD_PROJECT,Finnish Memories of Chilean 1973 Military Coup 2023,"The material consists of writings related to Finns' memories of the 1973 military coup in Chile. In the writing call respondents were asked to write about how they experienced the events of the military coup in Chile and the coverage of these events in Finland. As a guiding question, the respondents",S91,"Library, archives, museum and other cultural activities",0.85,"The project focuses on personal narratives and cultural reflections related to a historical political event, aligning it with cultural activities and memory preservation.",,
390,23025313,QD_PROJECT,Data from: Parasites and competitors suppress bacterial pathogen synergistically due to evolutionary trade-offs,"Parasites and competitors are important for regulating pathogen densities and subsequent disease dynamics. It is, however, unclear to what extent this is driven by ecological and evolutionary processes. Here we used experimental evolution to study the eco-evolutionary feedbacks between Ralstonia sol",A01,"Crop and animal production, hunting and related service activities",0.9,"The research focuses on agricultural pathogens and their interactions, which aligns with crop production activities.",,
690,23025313,QD_PROJECT,"Data from: Extreme behavioural shifts by baboons exploiting risky, resource-rich, human-modified environments","A range of species exploit anthropogenic food resources in behaviour known as ‘raiding’. Such behavioural flexibility is considered a central component of a species’ ability to cope with human-induced environmental changes. Here, we study the behavioural processes by which raiding male chacma baboon",N72,Scientific research and development,0.95,"The project focuses on scientific research and development related to animal behavior and human interactions, fitting well within the scientific research classification.",,
602,23025313,QD_PROJECT,Data from: Community Credit interviews on trust in consumer financial services,"<p class=""MsoNormal"">The Community Credit research project explores pathways for trusted collaboration between credit unions and the communities they serve. To understand the experiences of people historically underserved by the consumer financial services industry, we focused in particular on the l",L64,"Financial service activities, except insurance and pension funding",0.9,"The project focuses on trust in consumer financial services, which falls under financial service activities.",,
697,23025313,QD_PROJECT,Comparing the nutritional status of children and adolescents from North Korean defector families and South Korean families,"<p>Objective: This study aimed to investigate the nutritional status of children and adolescents from North Korean defector (NKD) families who are currently living in South Korea (SK) and compared with the status of those from SK families.</p>

<p>Design: A cross-sectional study comparing the prev",R86,Human health activities,0.95,"The project focuses on health-related research, specifically the nutritional status of children and adolescents.",,
337,23025313,QD_PROJECT,Data from: Mate sampling and choosiness in the sand goby,"To date, mate choice studies have mostly focused on establishing which mates are chosen or how the choices are performed. Here, we combined these two approaches by empirically testing how latency to mate is affected by various search costs, variation in mate quality and female quality in the sand go",A03,Fishing and aquaculture,0.95,"The research focuses on mate choice and behavior in the sand goby, which falls under the category of fishing and aquaculture.",,
730,23025313,QD_PROJECT,Double burden of malnutrition in two Nigerian states,"<p style=""text-align:justify;margin-bottom:11px;""><b>Background: </b>Double burden of malnutrition (DBM) is the co-existence of overweight/obesity and undernutrition. Rising prevalence rates of childhood overweight/obesity in Nigeria have been reported, whilst undernutrition continues to be prevalen",R86,Human health activities,0.92,"The project focuses on the prevalence and distribution of malnutrition among children, which falls under human health activities.",,
54,23025313,QD_PROJECT,Clinicians’ opinions on recommending aspirin to prevent colorectal cancer to Australians aged 50 to 70 years: A qualitative study,"<h2 style=""margin-top:3px;""><span style=""font-weight:normal;"">Objectives</span></h2>

<p style=""margin-bottom:11px;"">Australian guidelines recommend all 50 to 70-year-olds without existing contraindications consider taking low-dose aspirin (100 mg – 300 mg per day) for at least 2.5 years to reduce",R86,Human health activities,0.95,"The project focuses on clinicians' opinions and practices related to health interventions, specifically in the context of cancer prevention.",,
261,23025313,QD_PROJECT,"Data from: Phylogeny, ancestors, and anagenesis in the hominin fossil record","Probabilistic approaches to phylogenetic inference have recently gained traction in paleontological studies. Because they directly model processes of evolutionary change, probabilistic methods facilitate a deeper assessment of variability in evolutionary patterns by weighing evidence for competing m",N72,Scientific research and development,0.95,The project focuses on scientific research and development in the field of evolutionary biology and paleontology.,,
144,23025313,QD_PROJECT,Women's status in Higher leadership positions in Ethiopia since 1991,"<p>Gender equality in decision-making positions is crucial to achieving the goals of good governance, peace, democracy, and inclusive/sustainable development. The major aim of this research article is to investigate the representation trend of women in higher decision-making positions over the last",P84,Public administration and defence; compulsory social security,0.95,"The research focuses on gender equality and women's representation in government leadership, aligning it with public administration and governance.",,
116,23025313,QD_PROJECT,Volatilome of Aleppo Pine litter over decomposition process,"<p>Biogenic Volatile Organic Compounds (BVOC) are largely accepted to contribute to both, atmospheric chemistry and ecosystem functioning. While the forest canopy is recognized as a major source of BVOC, emissions from plant litter have scarcely been explored with just a couple of studies being focu",A02,Forestry and logging,0.95,"The research focuses on the emissions from forest litter, which falls under forestry and logging activities.",,
234,23025313,QD_PROJECT,Data from: Reproductive isolation and local adaptation quantified for a chromosome inversion in a malaria mosquito,"Chromosome inversions have long been thought to be involved in speciation and local adaptation. We have little quantitative information, however, about the effects that inversion polymorphisms have on reproductive isolation and viability. Here we provide the first estimates from any organism for the",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to population genetics and evolutionary biology.,,
699,23025313,QD_PROJECT,Data from: Diagnosing depression in chronic pain patients: DSM-IV Major Depressive Disorder vs. Beck Depression Inventory (BDI),"Background: Diagnosing depression in chronic pain is challenging due to overlapping somatic symptoms. In questionnaires, such as the Beck Depression Inventory (BDI), responses may be influenced more by pain than by the severity of depression. In addition, previous studies have suggested that symptom",R86,Human health activities,0.95,"The project focuses on diagnosing depression in chronic pain patients, which falls under human health activities.",,
727,23025313,QD_PROJECT,"The capacity challenge: Governing in an era of rapid scientific, technological, and economic change","<p dir=""ltr"">In this research, we examined how public regulatory agencies respond to rapidly emerging technologies. Our study examined the role of the Food and Drug Administration as it manages first-in-human clinical trials using CRISPR/Cas-9 gene editing technologies and we examined both state and",P84,Public administration and defence; compulsory social security,0.92,"The research focuses on how public regulatory agencies manage emerging technologies, which falls under public administration and policy.",,
816,23025313,QD_PROJECT,Finnish Experiences of Nighttime Parenting in Families with Small Children 2022,"The data consists of writings by parents of young children about their children's night sleep. The gathering of writings sought parents with children under school age in the family who had experienced night wakings, interrupted sleep and/or constant tiredness caused by children's night sleepiness. B",Q85,Education,0.92,"The project focuses on parenting experiences and child sleep, which falls under the domain of education and family studies.",,
579,23025313,QD_PROJECT,Data from: Co-declining mammal-dung beetle faunas throughout the Atlantic Forest biome of South America,"The millennial-scale evolutionary relationships between mammals and dung beetles have been eroded due to several drivers of contemporary biodiversity loss. Although some evidence of co-decline has been shown for mammals and dung beetles at some Neotropical sites, a biome-scale analysis for the entir",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to ecological relationships and biodiversity.,,
606,23025313,QD_PROJECT,Semi-structured interview framework from: Growing together: Strengthening the partnership and impact of a zoo and community-led conservation organization,"<p>Indigenous peoples and local communities play a pivotal role in addressing the climate and biodiversity crises. The South Rift Association of Land Owners (SORALO) is a community-driven organization, representing 30 Indigenous Maasai communities in Kenya, which cultivates resources to support comm",N72,Scientific research and development,0.95,"The project focuses on qualitative research evaluating partnerships in conservation, aligning with scientific research and development activities.",,
646,23025313,QD_PROJECT,Predictors of controlled prescription drug nonmedical and lifetime use among patients accessing public mental health services in Uganda: a cross-sectional study,"<p><b>Background</b>: Access to drug substances with mood rewarding effects such as opioids, central nervous system stimulants, sedatives, hypnotics and intravenous anaesthetics is tightly controlled by law globally. Those which are clinically approved have strict prescription and accountability req",R86,Human health activities,0.95,The project focuses on mental health activities and the implications of drug use among patients accessing mental health services.,,
753,23025313,QD_PROJECT,"Data from: Poor infant and young child feeding practices and sources of caregivers’ feeding knowledge in rural Hebei Province, China: findings from a cross-sectional survey","Objectives: To obtain a general overview of infant and young child feeding practices in one rural county in China and identify current delivery channels and challenges. Design: A cross-sectional study. Setting: A rural county, Zhao County, in Hebei Province, China. Participants: 10 clusters were fir",R86,Human health activities,0.92,"The project focuses on infant feeding practices and caregiver knowledge, which falls under human health activities.",,
409,23025313,QD_PROJECT,Data from: Application of ITS2 metabarcoding to determine the provenance of pollen collected by honey bees in an agroecosystem,"Premise of the study: Melissopalynology, the identification of bee-collected pollen, provides insight into the flowers exploited by foraging bees. Information provided by melissopalynology could guide floral enrichment efforts aimed at supporting pollinators, but it has rarely been used because trad",N72,Scientific research and development,0.95,The project focuses on scientific research and development in the field of ecology and molecular biology.,,
208,23025313,QD_PROJECT,Native range estimates for red-listed vascular plants,"<p style=""text-align:justify;"">Besides being central for understanding both global biodiversity patterns and associated anthropogenic impacts, species range maps are currently only available for a small subset of global biodiversity. Here, we provide a set of assembled spatial data for terrestrial v",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to biodiversity and species distribution data.,,
702,23025313,QD_PROJECT,"Data from: Asthma-like symptoms in homeless children in the Greater Paris area in 2013: prevalence, associated factors and utilization of healthcare services in the ENFAMS survey",Asthma remains poorly studied in homeless children. We sought to estimate the prevalence of asthma-like symptoms (ALS) and to identify the factors associated with ALS and healthcare service utilisation. Materials and Methods: A cross-sectional survey of a random sample of sheltered homeless families,R86,Human health activities,0.95,"The project focuses on healthcare service utilization and health-related issues among children, which aligns with human health activities.",,
598,23025313,QD_PROJECT,Appendices interview formats ,"<p style=""margin-bottom:16px;text-align:justify;""><b>Background</b>: Literature on multi-disciplinary healthcare team interventions to improve quality and safety of care in acute hospital contexts tends to focus on evaluating the success of the intervention by assessing patient outcomes. In contrast",R86,Human health activities,0.95,"The project focuses on qualitative research in the context of human health activities, specifically evaluating healthcare team interventions.",,
315,23025313,QD_PROJECT,Data from: Geographic variation in mimetic precision among different species of coral snake mimics,"Batesian mimicry is widespread, but whether and why different species of mimics vary geographically in resemblance to their model is unclear. We characterized geographic variation in mimetic precision among four Batesian mimics of coral snakes. Each mimic occurs where its model is abundant (i.e., in",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to biological mimicry and geographic variation in species.,,
143,23025313,QD_PROJECT,Data from: Categorizing and assessing comprehensive drivers of provider behavior for optimizing quality of health care,"<p>Inadequate quality of care in healthcare facilities is one of the primary causes of patient mortality in low- and middle-income countries, and understanding the behavior of healthcare providers is key to addressing it. Much of the existing research concentrates on improving resource-focused issue",R86,Human health activities,0.95,"The project focuses on understanding and improving healthcare provider behavior, which falls under human health activities.",,
581,23025313,QD_PROJECT,Data from: Urbanization-driven changes in web-building and body size in an orb-web spider,"1. In animals, behavioural responses may play an important role in determining population persistence in the face of environmental changes. Body size is a key trait central to many life history traits and behaviours. Correlations with body size may constrain behavioural variation in response to envi",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to ecological and behavioral studies of urban-dwelling species.,,
431,23025313,QD_PROJECT,Data from: Optimal taxonomic groups for biodiversity assessment: a meta-analytic approach,"A fundamental decision in biodiversity assessment is the selection of one or more study taxa, a choice that is often made using qualitative criteria such as historical precedent, ease of detection, or available technical or taxonomic expertise. A more robust approach would involve selecting taxa bas",N72,Scientific research and development,0.95,"The project focuses on scientific research and development related to biodiversity assessment, which aligns with the activities classified under N72.",,
101,23025313,QD_PROJECT,Data from: The mutualism-antagonism continuum in Neotropical palm-frugivore interactions: from interaction outcomes to ecosystem dynamics,"<p>Frugivory, i.e. feeding on fruits, pulp or seeds by animals, is usually considered a mutualism when interactions involve seed dispersal, and an antagonism when it results in the predation and destruction of seeds. Nevertheless, most frugivory interactions involve both benefits and disadvantages f",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to ecological interactions and plant-animal relationships.,,
219,23025313,QD_PROJECT,Data from: A qualitative study exploring the health literacy issues in the care of Chinese American immigrants with diabetes,"Objectives: To investigate why first-generation Chinese immigrants with diabetes have difficulty obtaining, processing and understanding diabetes related information despite the existence of translated materials and translators. Design: This qualitative study employed purposive sampling. Six focus g",R86,Human health activities,0.95,"The project focuses on health literacy issues related to diabetes care, which falls under human health activities.",,
595,23025313,QD_PROJECT,Data from: Mating system and historical climate conditions affect population mean seed mass: evidence for adaptation and a new component of the selfing syndrome in Clarkia,"<p>1. The evolution of seed size may be influenced by intrinsic attributes of populations, such as mating system, and extrinsic factors, such as climate. Several hypotheses propose that the evolution of self-fertilization from an outcrossing progenitor will be accompanied by a reduction in seed size",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to ecological and evolutionary biology.,,
597,23025313,QD_PROJECT,Data from: Co-creation in fully remote software teams,"<p>The dataset consists of the interview protocols and codebook used in the design and data analysis steps of our study entitled ""Co-Creation in Fully Remote Software Teams"" accepted into the 2024 IEEE/ACM 46th International Confernce on Software Engineering (ICSE), The study is available at <a href",K62,"Computer programming, consultancy and related activities",0.95,"The project focuses on qualitative research in software engineering, which aligns with computer programming and consultancy activities.",,
403,23025313,QD_PROJECT,Managing for ecosystem response to drought and wildfire on the Colorado Plateau,"<p dir=""ltr"">These data are responses to survey questions (see below) given to staff associated with natural resource management on the Colorado Plateau, U.S.A. The survey was intended to understand how managers perceived: 1) the degree to which managed lands have experienced drought, wildfire, and",N72,Scientific research and development,0.95,"The project focuses on scientific research related to ecosystem responses and management interventions, fitting well within the scientific research and development category.",,
146,23025313,QD_PROJECT,Data from: Highly unsaturated fatty acids in nature: what we know and what we need to learn,"The supply and demand of omega-3 highly unsaturated fatty acids (ω-3 HUFA) in natural ecosystems may lead to resource limitation in a diverse array of animal taxa. Here, we review why food quality in terms of ω-3 HUFAs is important, particularly for neural tissue, across a diversity of animal taxa r",A03,Fishing and aquaculture,0.85,"The project focuses on the ecological implications of omega-3 fatty acids in natural ecosystems, which relates closely to fishing and aquaculture.",,
788,23025313,QD_PROJECT,Finnish Experiences of Domestic Violence 2022-2023,"The dataset consists of self-administered written texts in which people describe their experiences of domestic violence and their recovery from it. The data was collected using FSD's Penna textual data collection tool for the Violence to Safety doctoral dissertation. In the writing invitation, parti",R88,Social work activities without accommodation,0.92,"The project focuses on personal experiences and recovery related to domestic violence, which aligns with social work activities.",,
834,23025313,QD_PROJECT,Interviews with Students in Teacher Education on the Purpose of Life 2021,"The data consists of interviews with students at the Tampere University on the meaning of life. The students represented all fields of study in the Faculty of Education and Culture, including the doctoral programme. The data was originally collected for a Master's thesis as part of a larger Civic Pu",Q85,Education,0.95,"The project focuses on interviews with students in teacher education, exploring their perspectives on life and education, which aligns with the education sector.",,
120,23025313,QD_PROJECT,Data from: Biocultural approaches to sustainability: a systematic review of the scientific literature,"Current sustainability challenges demand approaches that acknowledge a plurality of human-nature interactions and worldviews, for which biocultural approaches are considered appropriate and timely. This systematic review analyses the application of biocultural approaches to sustainability in scienti",N72,Scientific research and development,0.95,"The project focuses on systematic review and analysis within the context of sustainability science, which aligns with scientific research and development activities.",,
107,23025313,QD_PROJECT,Bringing Back the Manchester Argus Coenonympha tullia ssp. davus (Fabricius 1777):  Quantifying the habitat resource requirements to inform the successful reintroduction of a specialist peatland butte,"<p>2021-30 has been designated the UN decade of ecosystem restoration.  A landscape scale peatland restoration project is being undertaken on Chat Moss, Greater Manchester, UK, with conservation translocations an important component of this work.  The Manchester Argus Coenonympha tullia ssp. davus,",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to ecological restoration and species reintroduction.,,
307,23025313,QD_PROJECT,FT TFL1 bimolecular luciferase complementation assays,"<p>CORRECTION</p>

<p>Ho, W.W.H., and Weigel, D. (2014). Structural Features Determining Flower-Promoting Activity of <i>Arabidopsis</i> FLOWERING LOCUS T. Plant Cell 26: 552-564. Published February 2014. DOI: <a href=""https://doi.org/10.1105/tpc.113.115220"">https://doi.org/10.1105/tpc.113.115220<",N72,Scientific research and development,0.95,The project involves scientific research and development related to plant biology and protein interactions.,,
340,23025313,QD_PROJECT,Data from: Virus adaptation to quantitative plant resistance: erosion or breakdown?,"Adaptation of populations to new environments is frequently costly due to trade-offs between life history traits, and consequently, parasites are expected to be locally adapted to sympatric hosts. Also, during adaptation to the host, an increase of parasite fitness could have direct consequences on",A01,"Crop and animal production, hunting and related service activities",0.9,"The research focuses on plant resistance and pathogen adaptation, which falls under crop production activities.",,
571,23025313,QD_PROJECT,Data from: Low-dose proton radiation effects in a transgenic mouse model of Alzheimer's Disease - implications for space travel,"Space radiation represents a significant health risk for astronauts. Ground-based animal studies indicate that space radiation affects neuronal functions such as excitability, synaptic transmission, and plasticity, and it may accelerate the onset of Alzheimer's disease (AD). Although protons represe",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to health effects of radiation on a specific disease model.,,
115,23025313,QD_PROJECT,"Skull shape of a widely-distributed, endangered marsupial reveals little evidence of local adaptation between fragmented populations","<p>The biogeographical distribution of diversity among populations of threatened mammalian species is generally investigated using population genetics. However, intraspecific phenotypic diversity is rarely assessed beyond taxonomy-focused linear measurements or qualitative descriptions. Here, we use",N72,Scientific research and development,0.95,The project focuses on scientific research and development related to the morphological analysis of an endangered marsupial species.,,
